iter	Passed	Remaining
300	747	1736
301	748	1731
302	750	1726
303	752	1722
304	754	1718
305	755	1714
306	758	1711
307	760	1709
308	763	1706
309	765	1702
310	767	1700
311	769	1696
312	772	1694
313	775	1694
314	776	1689
315	778	1685
316	780	1681
317	782	1677
318	783	1673
319	786	1671
320	788	1667
321	790	1663
322	790	1657
323	791	1651
324	792	1645
325	793	1640
326	794	1635
327	795	1629
328	795	1623
329	796	1617
330	797	1611
331	797	1605
332	798	1599
333	800	1596
334	802	1592
335	804	1589
336	805	1584
337	807	1580
338	808	1577
339	810	1573
340	812	1569
341	813	1565
342	816	1563
343	819	1561
344	820	1558
345	822	1554
346	824	1551
347	826	1547
348	827	1544
349	830	1541
350	831	1538
351	833	1535
352	835	1531
353	837	1527
354	838	1524
355	840	1520
356	842	1516
357	844	1515
358	847	1512
359	849	1509
360	850	1505
361	852	1502
362	853	1498
363	855	1494
364	857	1491
365	859	1488
366	862	1487
367	864	1484
368	866	1481
369	868	1478
370	870	1475
371	872	1472
372	875	1471
373	877	1468
374	878	1464
375	880	1461
376	881	1457
377	883	1453
378	885	1450
379	887	1447
380	889	1444
381	891	1442
382	893	1439
383	895	1436
384	897	1433
385	899	1430
386	902	1429
387	904	1426
388	905	1422
389	907	1419
390	909	1416
391	910	1412
392	912	1409
393	914	1406
394	916	1404
395	918	1401
396	921	1398
397	922	1396
398	924	1393
399	926	1390
400	928	1387
401	931	1385
402	933	1382
403	935	1379
404	936	1376
405	938	1372
406	940	1369
407	941	1366
408	943	1363
409	945	1361
410	947	1358
411	949	1354
412	950	1351
413	952	1348
414	954	1345
415	956	1342
416	958	1339
417	960	1336
418	962	1334
419	964	1331
420	965	1328
421	967	1325
422	969	1321
423	970	1318
424	972	1316
425	974	1313
426	976	1310
427	978	1307
428	979	1304
429	981	1301
430	983	1297
431	984	1294
432	986	1291
433	989	1289
434	990	1286
435	992	1284
436	994	1281
437	996	1278
438	998	1276
439	1000	1273
440	1003	1272
441	1005	1269
442	1008	1267
443	1009	1264
444	1010	1260
445	1012	1257
446	1014	1254
447	1015	1251
448	1017	1249
449	1019	1246
450	1021	1243
451	1023	1240
452	1025	1237
453	1026	1234
454	1028	1231
455	1030	1229
456	1032	1227
457	1034	1224
458	1036	1221
459	1037	1218
460	1039	1215
461	1041	1212
462	1043	1210
463	1045	1207
464	1048	1205
465	1049	1203
466	1051	1200
467	1053	1197
468	1055	1195
469	1057	1192
470	1059	1190
471	1061	1187
472	1063	1185
473	1065	1182
474	1067	1180
475	1069	1177
476	1071	1174
477	1073	1172
478	1075	1169
479	1077	1166
480	1078	1163
481	1080	1161
482	1082	1158
483	1083	1155
484	1085	1152
485	1087	1150
486	1089	1147
487	1091	1145
488	1093	1142
489	1095	1140
490	1097	1137
491	1099	1135
492	1101	1132
493	1104	1131
494	1106	1129
495	1109	1127
496	1111	1124
497	1113	1122
498	1115	1119
499	1117	1117
500	1118	1113
501	1119	1110
502	1121	1107
503	1122	1104
504	1124	1102
505	1126	1099
506	1127	1096
507	1129	1094
508	1131	1091
509	1132	1088
510	1134	1085
511	1136	1082
512	1137	1080
513	1139	1077
514	1141	1074
515	1142	1071
516	1144	1069
517	1146	1066
518	1147	1063
519	1149	1061
520	1151	1058
521	1152	1055
522	1154	1052
523	1155	1050
524	1157	1047
525	1159	1044
526	1161	1042
527	1162	1039
528	1164	1036
529	1165	1033
530	1167	1031
531	1169	1028
532	1170	1025
533	1172	1023
534	1174	1020
535	1176	1018
536	1177	1015
537	1179	1013
538	1181	1010
539	1182	1007
540	1184	1004
541	1186	1002
542	1187	999
543	1189	997
544	1191	994
545	1192	991
546	1194	989
547	1196	986
548	1198	984
549	1199	981
550	1201	979
551	1203	976
552	1204	974
553	1206	971
554	1208	968
555	1209	966
556	1211	963
557	1213	960
558	1214	958
559	1216	955
560	1218	953
561	1219	950
562	1221	947
563	1222	945
564	1224	942
565	1226	940
566	1227	937
567	1229	935
568	1231	932
569	1232	930
570	1234	927
571	1236	925
572	1237	922
573	1239	919
574	1241	917
575	1242	914
576	1244	912
577	1246	910
578	1248	907
579	1249	905
580	1251	902
581	1253	899
582	1254	897
583	1256	894
584	1258	892
585	1259	889
586	1261	887
587	1263	885
588	1264	882
589	1266	880
590	1268	877
591	1269	875
592	1271	872
593	1272	870
594	1274	867
595	1276	865
596	1277	862
597	1279	860
598	1281	857
599	1282	855
600	1284	852
601	1286	850
602	1287	847
603	1289	845
604	1291	843
605	1292	840
606	1294	838
607	1296	835
608	1297	833
609	1299	830
610	1301	828
611	1302	825
612	1304	823
613	1306	821
614	1308	819
615	1310	816
616	1311	814
617	1313	811
618	1315	809
619	1316	806
620	1318	804
621	1320	802
622	1321	799
623	1323	797
624	1325	795
625	1327	792
626	1328	790
627	1330	788
628	1332	785
629	1334	783
630	1335	781
631	1337	778
632	1339	776
633	1340	774
634	1342	771
635	1344	769
636	1345	766
637	1347	764
638	1349	762
639	1350	759
640	1352	757
641	1354	755
642	1355	752
643	1357	750
644	1359	747
645	1360	745
646	1362	743
647	1364	741
648	1365	738
649	1367	736
650	1369	734
651	1371	731
652	1372	729
653	1374	727
654	1375	724
655	1377	722
656	1379	720
657	1381	717
658	1382	715
659	1384	713
660	1386	710
661	1387	708
662	1389	706
663	1390	703
664	1392	701
665	1394	699
666	1395	696
667	1397	694
668	1399	692
669	1400	689
670	1402	687
671	1403	685
672	1405	682
673	1407	680
674	1408	678
675	1411	676
676	1412	674
677	1414	671
678	1416	669
679	1418	667
680	1419	665
681	1421	662
682	1423	660
683	1425	658
684	1426	656
685	1428	653
686	1429	651
687	1431	649
688	1433	646
689	1434	644
690	1436	642
691	1438	640
692	1439	637
693	1441	635
694	1443	633
695	1445	631
696	1446	629
697	1448	626
698	1450	624
699	1452	622
700	1453	620
701	1455	617
702	1456	615
703	1459	613
704	1460	611
705	1462	608
706	1463	606
707	1465	604
708	1467	602
709	1469	600
710	1470	597
711	1472	595
712	1474	593
713	1475	591
714	1477	588
715	1479	586
716	1481	584
717	1482	582
718	1484	580
719	1486	578
720	1488	575
721	1490	573
722	1492	571
723	1494	569
724	1496	567
725	1498	565
726	1500	563
727	1501	561
728	1503	558
729	1505	556
730	1507	554
731	1509	552
732	1510	550
733	1512	548
734	1514	545
735	1515	543
736	1517	541
737	1519	539
738	1521	537
739	1523	535
740	1524	532
741	1526	530
742	1527	528
743	1529	526
744	1531	524
745	1532	521
746	1534	519
747	1536	517
748	1538	515
749	1539	513
750	1541	511
751	1542	508
752	1544	506
753	1546	504
754	1547	502
755	1549	500
756	1551	497
757	1553	495
758	1554	493
759	1556	491
760	1557	489
761	1559	487
762	1561	485
763	1563	482
764	1565	480
765	1567	478
766	1568	476
767	1570	474
768	1572	472
769	1573	470
770	1575	467
771	1577	465
772	1579	463
773	1580	461
774	1582	459
775	1584	457
776	1585	455
777	1587	453
778	1589	450
779	1591	448
780	1592	446
781	1594	444
782	1596	442
783	1598	440
784	1600	438
785	1601	436
786	1603	433
787	1605	431
788	1607	429
789	1609	427
790	1611	425
791	1612	423
792	1614	421
793	1616	419
794	1617	417
795	1619	415
796	1621	412
797	1623	410
798	1625	408
799	1626	406
800	1627	404
801	1629	402
802	1631	400
803	1632	398
804	1634	395
805	1636	393
806	1638	391
807	1639	389
808	1641	387
809	1643	385
810	1644	383
811	1646	381
812	1647	379
813	1649	376
814	1651	374
815	1653	372
816	1654	370
817	1656	368
818	1658	366
819	1660	364
820	1662	362
821	1662	360
822	1663	357
823	1665	355
824	1667	353
825	1669	351
826	1670	349
827	1672	347
828	1674	345
829	1675	343
830	1677	341
831	1679	339
832	1680	336
833	1682	334
834	1684	332
835	1685	330
836	1687	328
837	1689	326
838	1691	324
839	1692	322
840	1694	320
841	1696	318
842	1698	316
843	1700	314
844	1702	312
845	1703	310
846	1705	308
847	1707	306
848	1709	303
849	1711	302
850	1713	299
851	1714	297
852	1716	295
853	1717	293
854	1719	291
855	1721	289
856	1723	287
857	1725	285
858	1727	283
859	1728	281
860	1730	279
861	1731	277
862	1733	275
863	1735	273
864	1736	271
865	1738	269
866	1740	267
867	1743	265
868	1744	263
869	1746	261
870	1748	258
871	1750	256
872	1751	254
873	1753	252
874	1755	250
875	1757	248
876	1758	246
877	1760	244
878	1761	242
879	1763	240
880	1765	238
881	1766	236
882	1769	234
883	1770	232
884	1772	230
885	1774	228
886	1776	226
887	1778	224
888	1780	222
889	1782	220
890	1784	218
891	1785	216
892	1786	214
893	1788	212
894	1790	210
895	1792	208
896	1793	205
897	1794	203
898	1795	201
899	1797	199
900	1799	197
901	1801	195
902	1803	193
903	1804	191
904	1806	189
905	1808	187
906	1810	185
907	1812	183
908	1814	181
909	1816	179
910	1817	177
911	1819	175
912	1821	173
913	1821	171
914	1822	169
915	1824	167
916	1826	165
917	1828	163
918	1830	161
919	1832	159
920	1834	157
921	1836	155
922	1837	153
923	1839	151
924	1841	149
925	1843	147
926	1845	145
927	1847	143
928	1849	141
929	1851	139
930	1853	137
931	1856	135
932	1858	133
933	1859	131
934	1862	129
935	1863	127
936	1865	125
937	1867	123
938	1868	121
939	1871	119
940	1872	117
941	1874	115
942	1876	113
943	1878	111
944	1880	109
945	1883	107
946	1885	105
947	1887	103
948	1889	101
949	1891	99
950	1893	97
951	1895	95
952	1897	93
953	1899	91
954	1900	89
955	1902	87
956	1904	85
957	1906	83
958	1908	81
959	1909	79
960	1911	77
961	1913	75
962	1914	73
963	1917	71
964	1919	69
965	1921	67
966	1923	65
967	1925	63
968	1926	61
969	1928	59
970	1930	57
971	1931	55
972	1933	53
973	1935	51
974	1936	49
975	1938	47
976	1940	45
977	1941	43
978	1943	41
979	1945	39
980	1946	37
981	1948	35
982	1949	33
983	1951	31
984	1953	29
985	1955	27
986	1957	25
987	1958	23
988	1960	21
989	1961	19
990	1963	17
991	1965	15
992	1967	13
993	1969	11
994	1970	9
995	1972	7
996	1974	5
997	1975	3
998	1977	1
999	1978	0
